country,year,turnoutreg,closeness,closeness_per,weekday,streltype,compulsory,populationNohl,concurrent,v2x_polyarchy,democracy,gini
Egypt,2014,47.5,23022603,93.80000000000001,Wednesday,P,1,NA,0,0.136,FALSE,0.5861903
Egypt,1993,84.2,14511558,92.6,Monday,P,1,59500000,0,0.212,FALSE,0.5436929
El Salvador,2009,52.8,89770,4.100000000000001,Sunday,L,0,NA,0,0.601,TRUE,0.6519598
El Salvador,2015,48.23,38085,1.6999999999999957,Sunday,L,0,NA,0,0.672,TRUE,0.6311292
El Salvador,2009,61.9,69412,3.4000000000000057,Sunday,P,0,NA,0,0.601,TRUE,0.6519598
El Salvador,2018,44.7,365109,17.200000000000003,Sunday,L,0,NA,0,0.641,TRUE,0.5999933
El Salvador,2006,54.22,1842,0.0899999999999963,Sunday,L,0,NA,0,0.566,TRUE,0.6529528
El Salvador,2004,67.33755915324795,501917,22.03,Sunday,P,0,NA,0,0.545,TRUE,0.6549468
El Salvador,2014,54,268176,10,Sunday,P,0,NA,0,0.671,TRUE,0.65665567
El Salvador,2003,39.54433176867658,28810,2.1000000000000014,Sunday,L,0,6600000,0,0.547,TRUE,0.65216583
El Salvador,2012,50.5,69532,3.0999999999999943,Sunday,L,0,NA,0,0.623,TRUE,0.6244913
El Salvador,2014,60.6,6364,1,Sunday,P,0,NA,0,0.671,TRUE,0.65665567
Estonia,2011,63.53,30131,5.239999999999998,Sunday,L,0,NA,0,0.879,TRUE,0.5001744
Estonia,2003,58.24,3853,0.7799999999999976,Monday,L,0,1356000,0,0.868,TRUE,0.56942755
Estonia,1999,57.43,35461,7.32,Sunday,L,0,1376000,0,0.866,TRUE,0.53753275
Estonia,2007,61,9526,1.740000000000002,Sunday,L,0,NA,0,0.871,TRUE,0.51896495
Estonia,2015,64.2,16511,2.8999999999999986,Sunday,L,0,NA,0,0.893,TRUE,0.4941224
Ethiopia,1995,93.6,13060164,65.80000000000001,Sunday,L,0,56677100,0,0.221,FALSE,0.66504824
Ethiopia,2005,82.6,598059,3,Sunday,L,0,NA,0,0.255,FALSE,0.5298221
Finland,1999,65.27,12371,0.46000000000000085,Sunday,L,0,5159646,0,0.868,TRUE,0.4257068
